Engine: TBS 400kv
Engine weight (EW): 86 g
Propeller: 1555
Accumulator: 4S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;16,7;0;0,1;-1;0;-87;0,0
1100;16,7;0;0,1;-1;0;-87;0,0
1200;16,7;0,3;4,3;64;14,7;-22;-5,1
1300;16,7;0,6;10,7;159;15;73;6,8
1400;16,7;1,3;21,6;295;13,7;209;9,7
1500;16,6;2,2;37,1;448;12,1;362;9,8
1600;16,6;3,4;56,6;626;11,1;540;9,5
1700;16,5;5,1;84,1;828;9,8;742;8,8
1800;16,4;7,1;116,2;1040;8,9;954;8,2
1900;16,2;9,4;153,3;1256;8,2;1170;7,6
2000;16,2;11;177,6;1386;7,8;1300;7,3
