Engine: TBS 400kv
Engine weight (EW): 86 g
Propeller: 1555
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0;0,1;0;0;-86;0,0
1100;12,5;0;0,4;1;0;-85;0,0
1200;12,5;0,2;2,4;36;14,9;-50;-20,8
1300;12,5;0,4;5,2;86;16,5;0;0,0
1400;12,5;0,9;10,8;166;15,4;80;7,4
1500;12,4;1,5;18,4;269;14,6;183;9,9
1600;12,4;2,3;28,9;383;13,3;297;10,3
1700;12,3;3,4;41,5;511;12,3;425;10,2
1800;12,3;4,7;57,9;657;11,3;571;9,9
1900;12,2;6,4;77,5;804;10,4;718;9,3
2000;12,1;7,2;87,8;884;10,1;798;9,1
