China DJI 2212-920kv_Gemfan 9047 DJI hub_3S
PWM;U (V);I (A);P (W);Thrust (g); E (g/W)
1000;12,5;0,0;0,0;0;0,0
1100;12,5;0,0;0,1;0;0,0
1200;12,5;0,4;5,3;64;12,1
1300;12,4;0,8;10,5;119;11,4
1400;12,4;1,4;17,8;183;10,3
1500;12,4;2,4;30,2;274;9,1
1600;12,3;3,7;46,0;372;8,1
1700;12,2;5,5;67,6;487;7,2
1800;12,1;7,6;92,4;606;6,6
1900;12,0;10,0;119,8;716;6,0
2000;11,9;11,7;139,5;795;5,7
