TBS 400kv_tarot_1555_foldable_3S
PWM;U (V);I (A);P (W);Thrust (g); E (g/W)
1000;12,5;0,0;0,0;0;0,0
1100;12,5;0,1;0,8;5;0,0
1200;12,5;0,2;2,4;40;16,5
1300;12,5;0,5;6,1;106;17,2
1400;12,5;1,0;12,7;196;15,4
1500;12,4;1,8;22,3;307;13,8
1600;12,4;2,8;34,9;435;12,5
1700;12,3;4,0;49,5;572;11,6
1800;12,2;5,6;68,5;724;10,6
1900;12,1;7,5;90,8;883;9,7
2000;12,1;8,5;102,9;969;9,4
