TBS 400kv_tarot_1555_foldable_4S
PWM;U (V);I (A);P (W);Thrust (g); E (g/W)
1000;16,7;0,0;0,0;-1;0,0
1100;16,7;0,1;2,0;15;7,3
1200;16,7;0,3;4,8;76;15,7
1300;16,7;0,8;13,2;184;14,0
1400;16,6;1,6;26,3;331;12,6
1500;16,6;2,6;43,8;500;11,4
1600;16,5;4,1;67,4;693;10,3
1700;16,4;6,0;98,6;909;9,2
1800;16,3;8,3;134,4;1123;8,4
1900;16,2;11,0;177,6;1348;7,6
2000;16,1;12,8;206,3;1485;7,2
