TBS 2216-900kv_apc 1147SF_3S
PWM;U (V);I (A);P (W);Thrust (g); E (g/W)
1000;12,5;0,0;0,1;-2;0,0
1100;12,5;0,0;0,0;-2;0,0
1200;12,5;0,4;5,3;72;13,5
1300;12,5;0,9;10,9;142;12,9
1400;12,4;1,8;21,9;247;11,3
1500;12,3;3,2;39,8;389;9,8
1600;12,2;5,1;62,8;535;8,5
1700;12,1;7,3;89,0;684;7,7
1800;12,0;10,3;123,9;850;6,9
1900;11,8;13,6;160,6;999;6,2
2000;11,6;16,3;189,4;1117;5,9
