Engine: EMAX 2213-935kv
Engine weight (EW): 54 g
Propeller: APC 1147SF
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-54;0,0
1100;12,5;0,0;0,1;0;0,0;-54;0,0
1200;12,5;0,3;3,9;65;16,4;11;2,8
1300;12,5;0,7;9,3;129;13,8;75;8,1
1400;12,4;1,6;19,8;233;11,8;179;9,0
1500;12,4;2,9;35,7;360;10,1;306;8,6
1600;12,3;4,7;57,4;495;8,6;441;7,7
1700;12,1;6,9;83,7;640;7,6;586;7,0
1800;12,0;9,6;115,4;783;6,8;729;6,3
1900;11,9;12,5;149,2;914;6,1;860;5,8
2000;11,8;14,8;173,5;1005;5,8;951;5,5
