Engine: TBS 400kv
Engine weight (EW): 86 g
Propeller: 1755
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0;0,1;8;0;-78;0,0
1100;12,5;0;0,5;15;0;-71;0,0
1200;12,5;0,2;2,4;49;20,2;-37;-15,4
1300;12,5;0,5;6;111;18,4;25;4,2
1400;12,5;1;12,2;197;16,2;111;9,1
1500;12,4;1,8;22,4;309;13,8;223;10,0
1600;12,4;2,8;35,2;428;12,2;342;9,7
1700;12,3;4,2;51,4;559;10,9;473;9,2
1800;12,2;6;73,2;723;9,9;637;8,7
1900;12,1;8,1;98,5;885;9;799;8,1
2000;12;9,3;111,2;959;8,6;873;7,9
