Engine: TBS 2216-900kv
Engine weight (EW): 76 g
Propeller: apc 1047SF
Accumulator: 3S
PWM;U (V);I (A);P (W);Thrust (g);E (g/W);T-EW (g);Eabs (g/W)
1000;12,5;0,0;0,0;0;0,0;-76;0,0
1100;12,5;0,1;1,5;17;11,4;-59;-39,3
1200;12,5;0,4;5,3;70;13,2;-6;-1,1
1300;12,5;0,9;10,7;132;12,4;56;5,2
1400;12,5;1,5;18,9;209;11,1;133;7,0
1500;12,4;2,7;33,3;327;9,8;251;7,5
1600;12,3;4,2;51,9;455;8,8;379;7,3
1700;12,2;6,4;78,0;604;7,7;528;6,8
1800;12,1;9,0;108,8;756;6,9;680;6,3
1900;11,9;12,0;143,4;900;6,3;824;5,7
2000;11,8;14,1;166,2;991;6,0;915;5,5
